type_host,host_species,host_auth,host_order,host_family,invalid_host,host_ref,family,generic,genus,genus_ref,genus_type,genus_type_ref,specific,species,species_ref,genus_ori,subgenus,species_syn,species_syn_ref,subspecies_syn,subspecies_syn_ref,subspecies,subspecies_ref,genus_syn,genus_syn_ref,genus_new_syn
*,Wallabia bicolor,Desmarest) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Latumcephalum,Latumcephalum,"Le Souëf, 1902a:51",Latumcephalum macropus,Le Souëf,lesoueefi,lesoueefi,"Harrison & Johnston, 1916:343",,,,,,,,,,,
*,Macropus dorsalis,Gray) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Latumcephalum,Latumcephalum,"Le Souëf, 1902a:51",Latumcephalum macropus,Le Souëf,macropus,macropus,"Le Souëf, 1902b:51",,,,,,,,,,,
*,Macropus agilis,Gould) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Latumcephalum,Latumcephalum,"Le Souëf, 1902a:51",Latumcephalum macropus,Le Souëf,tenax,tenax,"Clay, 1981b:592",,,,,,,,,,,
,Thylogale stigmatica,Gould) ,Diprotodontia,Macropod.,,"Emerson & Price, 1981b:11",BOOPIIDAE,Macropophila,Macropophila,"Mjöberg, 1919:95",Macropophila forcipata,Mjöberg,biarcuata,biarcuata,"Kéler, 1971:45",,,,,,,,,,,
*,Thylogale thetis,Lesson),Diprotodontia,Macropod.,,,BOOPIIDAE,Macropophila,Macropophila,"Mjöberg, 1919:95",Macropophila forcipata,Mjöberg,biarcuata,biarcuata,"Kéler, 1971:45",,,,,,,,,,,
*,Thylogale stigmatica,Gould) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Macropophila,Macropophila,"Mjöberg, 1919:95",Macropophila forcipata,Mjöberg,breviarcuata,breviarcuata,"Kéler, 1971:45",,,,,,,,,,,
,Macropus rufogriseus,Desmarest) ,Diprotodontia,Macropod.,,"Green & Palma, 1991:9",BOOPIIDAE,Macropophila,Macropophila,"Mjöberg, 1919:95",Macropophila forcipata,Mjöberg,clayae,clayae,"Kéler, 1971:46",,,,,,,,,,,
*,Thylogale billardierii,Desmarest) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Macropophila,Macropophila,"Mjöberg, 1919:95",Macropophila forcipata,Mjöberg,clayae,clayae,"Kéler, 1971:46",,,,,,,,,,,
*,Thylogale stigmatica,Gould) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Macropophila,Macropophila,"Mjöberg, 1919:95",Macropophila forcipata,Mjöberg,forcipata,forcipata,"Mjöberg, 1919:95",,,,,,,,,,,
*,Macropus robustus,Gould ,Diprotodontia,Macropod.,,,BOOPIIDAE,Paraboopia,Paraboopia,"Werneck & Thompson, 1940:441",Paraboopia flava,Werneck & Thompson,flava,flava,"Werneck & Thompson, 1940:441",,,,,,,,,,,
