generic,genus,genus_ref,genus_type,genus_type_ref,genus_syn,genus_syn_ref,genus_new_syn,subgenus,subgenus_ref,subgenus_type,subgenus_type_ref
Heteromenopon,Heteromenopon,"Carriker, 1954b:170",Heteromenopon sincipitalis,Carriker,,,,,,,
Machaerilaemus,Machaerilaemus,,Hirundoecus americanus,"Ewing, 1930b:12 ",Hirundoecus,"Hopkins & Clay, 1952:173",,,,,
Hoazineus,Hoazineus,"Guimarães, 1940b:311",Colpocephalum armiferum,Kellogg,,,,,,,
Hohorstiella,Hohorstiella,"Eichler, 1940c:362",Menopon latum,Piaget,,,,,,,
Holomenopon,Holomenopon,"Eichler, 1941a:125",Menopon albofasciatum,Piaget,,,,,,,
Plegadiphilus,Plegadiphilus,,Menopon plegadis,"Eichler, 1986:46 ",Irinaephilus,,New Syn,,,,
Kaysius,Kaysius,"Price & Clayton, 1989:29",Kaysius emersoni,Price & Clayton,,,,,,,
Keamenopon,Heteromenopon,"Price & Beer, 1967:335",,,,,,Keamenopon,"Price & Beer, 1967:335 ",Menopon fulvofasciatum,Kellogg
Kelerimenopon,Kelerimenopon,"Conci, 1942d:262",Kelerimenopon sanfilippoi,Conci,,,,,,,
Kurodaia,Kurodaia,"Uchida, 1926:50",Colpocephalum haliaeeti,Denny,,,,,,,
Menacanthus,Menacanthus,,Lanicanthus aequalis,"Z{l-}otorzycka, 1965:57 ",Lanicanthus,"Emerson, 1972b:75",,,,,
Colpocephalum,Colpocephalum,,Allocolpocephalum laniidorum,"Z{l-}otorzycka, 1964a:187 ",Lanicephalum,"Price & Emerson, 1966b:431",,,,,
Myrsidea,Myrsidea,,Lanimenopon abhorreus,"Z{l-}otorzycka, 1964a:177 ",Lanimenopon,"Clay, 1966c:330",,,,,
Actornithophilus,Actornithophilus,,Colpocephalum maurum,"Z{l-}otorzycka, 1963c:223 ",Larithophilus,"Price & Emerson, 1966b:432",,,,,
Colpocephalum,Colpocephalum,,Colpocephalum leptopygos,"Eichler, 1947a:15 ",Liothella,"Hopkins & Clay, 1952:189",,,,,
Myrsidea,Myrsidea,,Liquidea proterva,"Z{l-}otorzycka, 1964a:173 ",Liquidea,"Clay, 1966c:330",,,,,
Longimenopon,Longimenopon,"Thompson, 1948b:197",Longimenopon puffinus,Thompson,,,,,,,
Lorimenopon,Kelerimenopon,"Price & Emerson, 1966:357",,,,,,Lorimenopon,"Price & Emerson, 1966:357 ",Colpocephalum longipes,Piaget
Machaerilaemus,Machaerilaemus,"Harrison, 1915a:389",Machaerilaemus latifrons,Harrison,,,,,,,
Colpocephalum,Colpocephalum,,Megacolpocephalum papuensis,"Mey, 1999:119 ",Megacolpocephalum,,New Syn,,,,
Kelerimenopon,Kelerimenopon,,Colpocephalum minus,"Eichler, 1982:83 ",Megapodipon,,New Syn,,,,
Menacanthus,Menacanthus,"Neumann, 1912a:353",Menopon robustum,Kellogg,,,,,,,
Menopon,Menopon,"Nitzsch, 1818:299",Menopon gallinae,L.,,,,,,,
Meromenopon,Meromenopon,"Clay & Meinertzhagen, 1941:333",Meromenopon meropis,Clay & Meinertzhagen,,,,,,,
